VEHICLE_ID,CUSTOMER_ID,DEALER_ID,VIN,YEAR,MAKE,MODEL,TRIM,COLOR,MILEAGE,PURCHASE_DATE,IS_LEASE,LEASE_END_DATE,CREATED_AT
VEH00076,CUS00076,DLR005,10519242941092708,2022,BMW,7 Series,Base,Black,107268,2022-06-23,False,,2019-11-26
VEH00077,CUS00077,DLR003,11997059070858478,2019,Ford,Escape,XLE,Green,58003,2021-10-29,True,2024-05-21,2020-09-12
VEH00078,CUS00078,DLR002,14658844248564775,2019,Honda,Odyssey,,Gold,23218,2022-10-25,False,,2020-01-28
VEH00079,CUS00079,DLR003,17381806867322122,2019,Ford,Edge,EX,Black,24085,2020-05-13,False,,2021-10-02
VEH00080,CUS00080,DLR002,13636257934489680,2020,Honda,Pilot,EX,Gold,87214,2021-02-01,False,,2020-04-18
VEH00081,CUS00081,DLR004,18240926498761904,2020,Chevrolet,Traverse,Limited,Gray,117382,2022-10-19,False,,2021-08-01
VEH00082,CUS00082,DLR002,18153067953826909,2019,Honda,CR-V,SE,Red,34666,2023-03-22,True,2024-01-21,2021-02-03
VEH00083,CUS00083,DLR003,15412294855962260,2022,Ford,Escape,SE,White,87082,2021-10-12,False,,2023-11-16
VEH00084,CUS00084,DLR004,11230463592215282,2022,Chevrolet,Traverse,Base,Silver,42119,2023-02-02,False,,2021-09-11
VEH00085,CUS00085,DLR001,14482140633503965,2020,Toyota,Camry,Sport,Red,112712,2019-05-30,False,,2022-04-09
VEH00086,CUS00086,DLR005,16524387196351047,2021,BMW,3 Series,Limited,Gray,118853,2019-02-18,False,,2022-01-19
VEH00087,CUS00087,DLR001,17644741932049121,2022,Toyota,Tacoma,LE,Green,39292,2020-04-11,True,2024-03-21,2022-04-22
VEH00088,CUS00088,DLR004,14577069837838677,2018,Chevrolet,Malibu,LX,Beige,103604,2021-11-15,False,,2021-08-28
VEH00089,CUS00089,DLR004,11971029756491328,2021,Chevrolet,Equinox,Sport,Green,110735,2022-12-21,False,,2020-01-14
VEH00090,CUS00090,DLR001,11584325967774735,2020,Toyota,Highlander,XLE,Beige,88968,2021-02-02,False,,2022-02-06
VEH00091,CUS00091,DLR003,17367798420566077,2021,Ford,Bronco,EX,Blue,6744,2021-07-18,False,,2021-04-28
VEH00092,CUS00092,DLR003,14478616301942167,2020,Ford,Escape,Limited,Silver,45787,2020-09-10,False,,2023-06-18
VEH00093,CUS00093,DLR002,14932295365171174,2019,Honda,Accord,SE,White,73270,2020-07-16,False,,2023-02-07
VEH00094,CUS00094,DLR003,13126930140068255,2019,Ford,Edge,EX,Beige,106800,2022-05-22,False,,2019-12-28
VEH00095,CUS00095,DLR001,14021176239529126,2018,Nissan,Altima,Sport,White,97784,2022-10-24,False,,2021-02-18
VEH00096,CUS00096,DLR002,15472646432802419,2022,Honda,Pilot,Limited,Black,34190,2022-12-28,False,,2021-04-01
VEH00097,CUS00097,DLR003,18205873352822060,2020,Ford,Explorer,LX,Beige,17778,2023-06-15,True,2024-02-19,2020-02-27
VEH00098,CUS00098,DLR001,19639503268079963,2022,Toyota,Camry,SE,Beige,52438,2022-04-03,False,,2020-12-18
VEH00099,CUS00099,DLR004,15888068937413291,2019,Chevrolet,Colorado,SE,Blue,71042,2021-03-14,True,2024-03-20,2023-04-29
VEH00100,CUS00100,DLR003,12536448558487845,2021,Ford,Bronco,SE,Silver,17361,2020-11-06,False,,2022-08-10
VEH00101,CUS00101,DLR002,12620247083302467,2020,Hyundai,Tucson,Sport,Silver,50014,2020-05-09,False,,2021-05-06
VEH00102,CUS00102,DLR003,14787670226711490,2022,Ford,Bronco,LX,Silver,35879,2020-11-09,False,,2020-12-25
VEH00103,CUS00103,DLR005,16165161560229295,2019,Hyundai,Tucson,,Gold,38689,2021-03-16,False,,2021-01-12
VEH00104,CUS00104,DLR001,13897872953172606,2019,Hyundai,Tucson,Base,Blue,80546,2019-02-07,True,2024-02-26,2020-07-17
VEH00105,CUS00105,DLR003,14375102182614962,2022,Ford,Bronco,EX,Blue,32037,2019-02-02,True,2024-04-21,2020-02-22
VEH00106,CUS00106,DLR003,11455447507667199,2022,Ford,Escape,SE,Black,33318,2019-03-27,True,2024-02-18,2020-03-01
VEH00107,CUS00107,DLR002,11525888211166802,2018,Hyundai,Sonata,EX,Green,54154,2023-03-08,False,,2021-12-20
VEH00108,CUS00108,DLR001,17433387215673414,2019,Toyota,Camry,EX,Gray,41646,2021-09-05,True,2024-06-25,2020-06-06
VEH00109,CUS00109,DLR004,19854774812011685,2019,Chevrolet,Colorado,Sport,Black,16664,2021-01-31,True,2023-12-29,2023-05-09
VEH00110,CUS00110,DLR004,14759711827672350,2019,Chevrolet,Silverado,XLE,Blue,28513,2022-07-14,False,,2019-12-17
VEH00111,CUS00111,DLR002,10558825695195112,2020,Honda,Pilot,EX,Beige,55757,2023-06-12,False,,2020-05-05
VEH00112,CUS00112,DLR004,15353467190233334,2019,Kia,Sorento,EX,Gold,45022,2022-09-01,False,,2021-03-12
VEH00113,CUS00113,DLR001,18544275224893315,2020,Toyota,RAV4,XLE,Gold,66477,2022-11-05,False,,2020-03-25
VEH00114,CUS00114,DLR005,14781196271784678,2020,BMW,5 Series,Base,Black,28166,2022-03-13,False,,2023-09-11
VEH00115,CUS00115,DLR004,15880808684111852,2019,Hyundai,Sonata,SE,White,34680,2020-04-14,False,,2020-04-29
VEH00116,CUS00116,DLR004,17016727464431118,2021,Chevrolet,Equinox,Limited,Gray,103402,2019-08-14,False,,2022-12-23
VEH00117,CUS00117,DLR002,10797349485452437,2021,Honda,Pilot,Base,Gray,99588,2021-09-21,False,,2020-01-30
VEH00118,CUS00118,DLR004,11865463321874865,2020,Chevrolet,Equinox,SE,Blue,17416,2020-08-08,True,2024-04-23,2023-08-25
VEH00119,CUS00119,DLR003,12403371916086898,2019,Ford,Explorer,Base,Gold,16063,2020-10-16,False,,2019-12-08
VEH00120,CUS00120,DLR002,11491746066930012,2019,Honda,Odyssey,LX,Silver,21688,2023-10-07,False,,2022-05-18
VEH00121,CUS00121,DLR004,10840523992559930,2022,Chevrolet,Equinox,LE,White,94846,2020-05-01,False,,2020-08-02
VEH00122,CUS00122,DLR001,17592207804779799,2019,Toyota,Camry,,Red,51809,2021-11-05,True,2024-03-30,2020-02-03
VEH00123,CUS00123,DLR002,14301782853469437,2021,Honda,Accord,Sport,Gray,57874,2021-04-28,False,,2023-05-10
VEH00124,CUS00124,DLR001,19071940713574843,2023,Toyota,RAV4,Limited,Gold,81460,2023-04-22,False,,2020-11-24
VEH00125,CUS00125,DLR003,14855193586714513,2020,Kia,Sorento,LX,Beige,99686,2019-05-24,True,2023-10-20,2019-11-25
VEH00126,CUS00126,DLR001,17156471395115901,2021,Toyota,Highlander,Limited,Black,18924,2022-06-22,False,,2021-05-01
VEH00127,CUS00127,DLR005,17846049117542173,2020,BMW,7 Series,EX,Red,50680,2022-10-21,True,2024-04-05,2021-04-08
VEH00128,CUS00128,DLR002,14487000623811020,2020,Honda,Odyssey,Base,Brown,26188,2021-05-18,False,,2022-09-13
VEH00129,CUS00129,DLR001,12814510105932299,2023,Toyota,RAV4,Base,Red,23378,2019-06-02,True,2024-06-27,2023-12-01
VEH00130,CUS00130,DLR001,16170607772297103,2021,Toyota,Camry,Base,Gray,97892,2021-06-30,False,,2019-12-05
VEH00131,CUS00131,DLR005,19810557284349358,2019,BMW,X3,LE,Blue,86459,2019-07-16,False,,2023-09-03
VEH00132,CUS00132,DLR004,11821896536656586,2020,Chevrolet,Traverse,Limited,Green,31461,2022-11-18,False,,2020-08-03
VEH00133,CUS00133,DLR003,10107747576463792,2022,Ford,Bronco,EX,Silver,48412,2020-09-03,False,,2022-10-20
VEH00134,CUS00134,DLR002,13017269190258512,2018,Hyundai,Sonata,EX,Blue,6495,2021-06-27,False,,2022-04-13
VEH00135,CUS00135,DLR001,10461068136182536,2018,Toyota,Corolla,SE,White,63717,2019-09-22,False,,2021-05-15
VEH00136,CUS00136,DLR004,17566862268965890,2021,Chevrolet,Malibu,XLE,Gray,69894,2022-06-28,False,,2022-09-01
VEH00137,CUS00137,DLR001,12661919958957553,2020,Toyota,Camry,Base,Black,27341,2022-08-02,False,,2023-11-16
VEH00138,CUS00138,DLR005,12468648890816620,2020,BMW,5 Series,,Gold,25109,2021-01-02,False,,2023-04-24
VEH00139,CUS00139,DLR003,15741027393476001,2020,Ford,Explorer,LX,White,13234,2020-02-23,True,2024-04-04,2021-05-30
VEH00140,CUS00140,DLR005,14290756284442314,2021,BMW,3 Series,Sport,Gray,118346,2023-05-16,False,,2020-04-02
VEH00141,CUS00141,DLR005,10108071986827269,2019,BMW,5 Series,EX,Black,89926,2019-08-21,True,2023-12-23,2020-05-03
VEH00142,CUS00142,DLR004,18322044406180034,2019,Chevrolet,Traverse,,Blue,48577,2019-11-10,False,,2022-12-13
VEH00143,CUS00143,DLR005,16608560763969829,2019,BMW,X3,EX,Silver,96203,2021-11-03,False,,2020-06-09
VEH00144,CUS00144,DLR001,13624629894397718,2021,Toyota,Corolla,Sport,Brown,99878,2023-05-29,True,2023-12-02,2023-07-10
VEH00145,CUS00145,DLR001,11692021413164004,2019,Toyota,Camry,Base,Silver,42205,2020-12-23,False,,2022-01-08
VEH00146,CUS00146,DLR001,17926292089392256,2022,Toyota,Highlander,Limited,Brown,95873,2023-05-02,True,2023-11-08,2019-12-07
VEH00147,CUS00147,DLR001,13142139498493565,2020,Toyota,RAV4,LX,Silver,62331,2020-09-11,False,,2022-08-03
VEH00148,CUS00148,DLR005,11212308142209911,2021,BMW,5 Series,LX,Red,12138,2023-04-06,False,,2022-04-03
VEH00149,CUS00149,DLR003,18541079504201445,2019,Ford,Edge,EX,Black,37925,2020-08-19,True,2024-02-24,2023-02-15
VEH00150,CUS00150,DLR001,12668770912425043,2022,Toyota,Camry,Base,Blue,91939,2023-02-14,True,2024-05-20,2020-02-05
VEH00151,CUS00151,DLR002,18368139115099117,2022,Honda,Civic,Sport,Gold,116276,2021-12-22,True,2023-12-13,2022-11-24
VEH00152,CUS00152,DLR004,14087986365920116,2020,Chevrolet,Equinox,SE,Silver,50656,2020-02-17,False,,2022-03-18
VEH00153,CUS00153,DLR002,13735621823510495,2020,Honda,CR-V,Base,Green,104008,2019-11-14,False,,2023-10-28
VEH00154,CUS00154,DLR003,17511685174032991,2021,Ford,Bronco,Base,White,57634,2023-03-01,True,2024-03-14,2020-11-28
VEH00155,CUS00155,DLR001,18941126068199213,2022,Toyota,Highlander,XLE,Black,111366,2023-03-03,True,2024-06-03,2022-08-23
VEH00156,CUS00156,DLR004,14519682710602743,2021,Nissan,Rogue,XLE,Green,114760,2020-05-02,True,2024-06-10,2022-06-23
VEH00157,CUS00157,DLR003,18003916358884099,2020,Nissan,Altima,LX,Red,37262,2023-01-27,False,,2022-06-05
VEH00158,CUS00158,DLR002,16994427962570565,2019,Honda,Civic,Base,Gold,19360,2021-02-25,False,,2020-09-18
VEH00159,CUS00159,DLR005,18569610942211765,2020,BMW,X3,LE,Green,116445,2019-06-11,False,,2022-04-30
VEH00160,CUS00160,DLR004,14269811804940973,2019,Chevrolet,Equinox,Base,Green,68543,2019-04-06,False,,2020-10-03
VEH00161,CUS00161,DLR002,15308549128298047,2019,Kia,Sorento,Sport,Black,10179,2023-11-21,False,,2023-03-15
VEH00162,CUS00162,DLR002,17044102179677809,2019,Honda,CR-V,Sport,Blue,96668,2021-07-11,True,2023-12-26,2022-11-07
VEH00163,CUS00163,DLR001,15934963196059914,2022,Toyota,Camry,,Brown,69411,2022-06-12,True,2024-01-01,2020-11-05
VEH00164,CUS00164,DLR003,15839521135896463,2021,Ford,Explorer,XLE,Blue,100168,2023-08-10,False,,2023-06-22
VEH00165,CUS00165,DLR001,17919573331380561,2019,Nissan,Altima,LE,Blue,30201,2019-03-06,False,,2023-02-26
VEH00166,CUS00166,DLR001,10008235065710730,2021,Toyota,Corolla,Base,Red,114362,2019-05-06,True,2024-01-05,2021-10-01
VEH00167,CUS00167,DLR001,15316211692261065,2021,Toyota,Highlander,LE,Black,27815,2020-08-12,False,,2021-03-28
VEH00168,CUS00168,DLR004,17670097634346738,2022,Chevrolet,Equinox,LE,Gold,82795,2021-06-11,False,,2022-05-30
VEH00169,CUS00169,DLR002,16556978578286471,2022,Honda,Accord,EX,Blue,107131,2020-11-28,False,,2021-10-20
VEH00170,CUS00170,DLR003,11889347104642592,2019,Ford,Edge,Limited,Gray,38760,2020-09-27,False,,2022-05-30
VEH00171,CUS00171,DLR004,16399933685787324,2019,Chevrolet,Silverado,Base,Gold,39573,2023-02-20,False,,2022-08-25
VEH00172,CUS00172,DLR003,15028577552212694,2022,Ford,Explorer,Base,Gold,82896,2022-08-25,False,,2022-10-15
VEH00173,CUS00173,DLR004,13613613773105654,2020,Chevrolet,Malibu,LE,Black,9138,2021-09-05,True,2024-04-28,2022-09-05
VEH00174,CUS00174,DLR001,10963675797548820,2020,Toyota,Tacoma,LX,Black,119603,2023-09-29,False,,2020-04-03
VEH00175,CUS00175,DLR004,10136634009290948,2019,Chevrolet,Equinox,LX,Gray,89870,2022-04-20,False,,2020-09-28
VEH00176,CUS00176,DLR005,15819507065731379,2020,BMW,7 Series,SE,Gray,105835,2022-05-27,False,,2022-12-07
VEH00177,CUS00177,DLR005,12510519932528141,2021,BMW,X3,LX,Silver,56335,2019-11-17,False,,2022-02-23
VEH00178,CUS00178,DLR001,16189233448683512,2019,Nissan,Altima,Base,Silver,115438,2022-08-09,False,,2023-04-09
VEH00179,CUS00179,DLR004,14635505595836915,2021,Chevrolet,Silverado,,Blue,107648,2021-11-19,True,2024-01-23,2020-05-07
VEH00180,CUS00180,DLR004,17438345630656559,2019,Chevrolet,Malibu,LE,White,112703,2019-08-15,False,,2022-04-06
VEH00181,CUS00181,DLR003,13301831994670255,2022,Ford,Escape,XLE,White,114600,2020-12-09,False,,2020-11-16
VEH00182,CUS00182,DLR003,19059353173558950,2021,Ford,Escape,Base,Gold,59896,2021-03-07,False,,2020-11-06
VEH00183,CUS00183,DLR003,13987743575200477,2020,Ford,Escape,LX,Brown,7637,2019-08-21,False,,2020-02-07
VEH00184,CUS00184,DLR005,17588936822337913,2019,BMW,X3,,Blue,28607,2020-12-29,False,,2020-05-23
VEH00185,CUS00185,DLR002,19460228881230248,2021,Honda,CR-V,SE,Gold,99134,2023-02-25,False,,2022-11-13
VEH00186,CUS00186,DLR003,19121837297340198,2021,Ford,Bronco,LX,Green,30471,2023-05-30,False,,2020-12-30
VEH00187,CUS00187,DLR002,13726274023425973,2023,Honda,Accord,EX,Beige,32829,2022-10-17,False,,2023-10-06
VEH00188,CUS00188,DLR005,19361834577977549,2021,BMW,7 Series,Limited,Green,38527,2021-07-31,False,,2022-06-11
VEH00189,CUS00189,DLR002,12833593259757070,2019,Honda,Odyssey,Limited,Gray,84407,2022-10-03,False,,2022-12-16
VEH00190,CUS00190,DLR005,16731833155877589,2021,BMW,X3,LX,Gray,36780,2023-11-30,False,,2019-12-03
VEH00191,CUS00191,DLR004,10384958131095332,2019,Chevrolet,Colorado,SE,Beige,17173,2022-01-20,False,,2023-04-21
VEH00192,CUS00192,DLR005,13253947265747067,2021,BMW,5 Series,Sport,White,70187,2020-02-18,False,,2022-01-23
VEH00193,CUS00193,DLR001,13355421636387437,2020,Toyota,Corolla,LE,White,14698,2022-03-30,False,,2021-12-01
VEH00194,CUS00194,DLR002,15965063270279559,2020,Honda,Accord,LE,Red,32792,2021-08-10,False,,2020-04-08
VEH00195,CUS00195,DLR003,13521316892454421,2021,Ford,Bronco,Limited,White,12247,2021-05-18,False,,2020-06-18
VEH00196,CUS00196,DLR003,12122435364983053,2019,Ford,F-150,,Red,38376,2022-04-10,False,,2020-06-08
VEH00197,CUS00197,DLR001,15644549028735019,2021,Toyota,Highlander,Base,White,96129,2021-12-18,False,,2021-08-18
VEH00198,CUS00198,DLR005,19085244299094775,2020,BMW,7 Series,EX,Green,102937,2021-11-12,False,,2020-12-10
VEH00199,CUS00199,DLR005,16578163956725772,2021,BMW,7 Series,LX,Silver,35490,2019-10-07,False,,2021-06-09
VEH00200,CUS00200,DLR003,14788440047845831,2020,Ford,Escape,,Blue,22900,2022-09-12,False,,2022-08-09
VEH00201,CUS00201,DLR002,11737485927512319,2022,Honda,CR-V,SE,Blue,70657,2021-04-22,True,2024-05-16,2021-05-24
VEH00202,CUS00202,DLR005,11187191092276590,2021,BMW,X3,,Black,76601,2022-05-08,False,,2022-09-27
VEH00203,CUS00203,DLR002,19034532829046970,2022,Honda,Accord,EX,Gray,103888,2020-02-29,False,,2023-02-23
VEH00204,CUS00204,DLR002,15221445965369030,2020,Honda,Pilot,SE,White,73116,2019-12-12,False,,2020-02-18
VEH00205,CUS00205,DLR002,10420041702975009,2021,Honda,Civic,LX,Beige,97935,2023-11-28,False,,2020-09-04
VEH00206,CUS00206,DLR003,12642704696982836,2021,Ford,Edge,SE,Blue,83139,2019-06-28,False,,2020-02-14
VEH00207,CUS00207,DLR005,19786619664941167,2022,BMW,3 Series,SE,Green,119723,2021-05-04,False,,2020-01-05
VEH00208,CUS00208,DLR001,12348443528440841,2018,Toyota,Corolla,SE,Gray,94759,2023-06-18,False,,2023-06-08
VEH00209,CUS00209,DLR003,15239547229849360,2020,Ford,Edge,EX,Silver,32757,2019-12-30,False,,2023-02-03
VEH00210,CUS00210,DLR003,13796651596783394,2019,Ford,Escape,EX,Green,19212,2022-05-25,False,,2022-08-10
VEH00211,CUS00211,DLR001,16806080414458939,2020,Toyota,Highlander,Limited,Silver,74029,2020-05-31,True,2023-10-19,2022-09-14
VEH00212,CUS00212,DLR003,13603889082007558,2020,Ford,Escape,LE,White,112279,2020-12-24,False,,2020-10-17
VEH00213,CUS00213,DLR003,11619129354257081,2018,Ford,F-150,,Beige,112294,2020-10-06,False,,2020-04-09
