CALL_ID,DEALER_ID,AGENT_ID,CUSTOMER_ID,CAMPAIGN_ID,CALL_DATETIME,CALL_DATE,DURATION_SECONDS,DISPOSITION,DIRECTION,CALL_TYPE,RECORDING_URL,CREATED_AT
CALL000044,DLR001,AGT002,CUS00651,CMP004,2024-01-17 11:30:49,2024-01-17,139,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/17/CALL000044.mp3,2024-01-17 11:30:49
CALL000045,DLR004,AGT019,CUS01699,CMP017,2024-01-07 15:17:03,2024-01-07,144,voicemail,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/07/CALL000045.mp3,2024-01-07 15:17:03
CALL000046,DLR005,AGT029,CUS01380,CMP022,2024-01-29 07:14:13,2024-01-29,206,no_answer,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/29/CALL000046.mp3,2024-01-29 07:14:13
CALL000047,DLR005,AGT026,CUS00749,CMP022,2024-01-04 16:33:42,2024-01-04,349,voicemail,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/04/CALL000047.mp3,2024-01-04 16:33:42
CALL000048,DLR002,AGT007,CUS01377,CMP006,2024-01-08 17:21:06,2024-01-08,169,information_provided,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/08/CALL000048.mp3,2024-01-08 17:21:06
CALL000049,DLR003,AGT016,CUS01038,CMP013,2024-01-24 08:49:40,2024-01-24,229,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/24/CALL000049.mp3,2024-01-24 08:49:40
CALL000050,DLR004,AGT022,CUS00672,CMP018,2024-01-03 08:31:21,2024-01-03,133,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR004/2024/01/03/CALL000050.mp3,2024-01-03 08:31:21
CALL000051,DLR003,AGT014,CUS00561,CMP013,2024-01-03 15:01:06,2024-01-03,123,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/03/CALL000051.mp3,2024-01-03 15:01:06
CALL000052,DLR001,AGT002,CUS01365,CMP002,2024-01-11 11:58:02,2024-01-11,115,voicemail,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/11/CALL000052.mp3,2024-01-11 11:58:02
CALL000053,DLR001,AGT004,CUS01667,CMP003,2024-01-16 11:23:44,2024-01-16,191,voicemail,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/16/CALL000053.mp3,2024-01-16 11:23:44
CALL000054,DLR001,AGT006,CUS01187,CMP001,2024-01-09 10:24:32,2024-01-09,62,complaint,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/09/CALL000054.mp3,2024-01-09 10:24:32
CALL000055,DLR004,AGT023,CUS00537,CMP019,2024-01-18 15:54:30,2024-01-18,188,complaint,outbound,voicemail,s3://bdc-recordings/DLR004/2024/01/18/CALL000055.mp3,2024-01-18 15:54:30
CALL000056,DLR001,AGT006,CUS00852,CMP005,2024-01-25 16:13:16,2024-01-25,89,wrong_number,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/25/CALL000056.mp3,2024-01-25 16:13:16
CALL000057,DLR001,AGT003,CUS00644,CMP004,2024-01-08 14:21:00,2024-01-08,163,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/08/CALL000057.mp3,2024-01-08 14:21:00
CALL000058,DLR001,AGT003,CUS02000,CMP005,2024-01-14 10:07:26,2024-01-14,135,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/14/CALL000058.mp3,2024-01-14 10:07:26
CALL000059,DLR003,AGT014,CUS01991,CMP015,2024-01-02 09:57:51,2024-01-02,233,no_answer,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/02/CALL000059.mp3,2024-01-02 09:57:51
CALL000060,DLR002,AGT010,CUS01227,CMP008,2024-01-08 16:02:51,2024-01-08,282,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/08/CALL000060.mp3,2024-01-08 16:02:51
CALL000061,DLR002,AGT009,CUS01598,CMP007,2024-01-05 12:30:56,2024-01-05,211,no_answer,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/05/CALL000061.mp3,2024-01-05 12:30:56
CALL000062,DLR003,AGT015,CUS00967,CMP015,2024-01-14 11:52:27,2024-01-14,334,voicemail,outbound,no_answer,s3://bdc-recordings/DLR003/2024/01/14/CALL000062.mp3,2024-01-14 11:52:27
CALL000063,DLR001,AGT004,CUS00576,CMP005,2024-01-12 16:47:20,2024-01-12,319,voicemail,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/12/CALL000063.mp3,2024-01-12 16:47:20
CALL000064,DLR002,AGT007,CUS00676,CMP007,2024-01-29 13:15:48,2024-01-29,202,voicemail,outbound,voicemail,s3://bdc-recordings/DLR002/2024/01/29/CALL000064.mp3,2024-01-29 13:15:48
CALL000065,DLR005,AGT029,CUS01024,CMP023,2024-01-13 11:02:59,2024-01-13,235,voicemail,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/13/CALL000065.mp3,2024-01-13 11:02:59
CALL000066,DLR002,AGT011,CUS01789,CMP007,2024-01-18 11:05:56,2024-01-18,169,complaint,outbound,no_answer,s3://bdc-recordings/DLR002/2024/01/18/CALL000066.mp3,2024-01-18 11:05:56
CALL000067,DLR005,AGT030,CUS00621,CMP024,2024-01-05 13:23:44,2024-01-05,211,complaint,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/05/CALL000067.mp3,2024-01-05 13:23:44
CALL000068,DLR001,AGT006,CUS00587,CMP004,2024-01-29 12:14:30,2024-01-29,90,information_provided,outbound,no_answer,s3://bdc-recordings/DLR001/2024/01/29/CALL000068.mp3,2024-01-29 12:14:30
CALL000069,DLR001,AGT006,CUS01041,CMP003,2024-01-03 12:41:49,2024-01-03,140,appointment_set,outbound,no_answer,s3://bdc-recordings/DLR001/2024/01/03/CALL000069.mp3,2024-01-03 12:41:49
CALL000070,DLR004,AGT023,CUS00155,CMP017,2024-01-07 14:51:08,2024-01-07,313,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/07/CALL000070.mp3,2024-01-07 14:51:08
CALL000071,DLR002,AGT011,CUS00081,CMP008,2024-01-14 10:47:16,2024-01-14,186,complaint,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/14/CALL000071.mp3,2024-01-14 10:47:16
CALL000072,DLR005,AGT028,CUS01751,CMP025,2024-01-25 16:16:15,2024-01-25,209,voicemail,outbound,voicemail,s3://bdc-recordings/DLR005/2024/01/25/CALL000072.mp3,2024-01-25 16:16:15
CALL000073,DLR002,AGT009,CUS01599,CMP010,2024-01-26 10:02:02,2024-01-26,132,voicemail,outbound,voicemail,s3://bdc-recordings/DLR002/2024/01/26/CALL000073.mp3,2024-01-26 10:02:02
CALL000074,DLR004,AGT019,CUS00609,CMP017,2024-01-29 07:43:45,2024-01-29,124,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/29/CALL000074.mp3,2024-01-29 07:43:45
CALL000075,DLR003,AGT017,CUS00038,CMP015,2024-01-03 09:45:44,2024-01-03,186,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR003/2024/01/03/CALL000075.mp3,2024-01-03 09:45:44
CALL000076,DLR004,AGT021,CUS00329,CMP016,2024-01-05 16:06:35,2024-01-05,358,appointment_set,outbound,no_answer,s3://bdc-recordings/DLR004/2024/01/05/CALL000076.mp3,2024-01-05 16:06:35
CALL000077,DLR003,AGT018,CUS01188,CMP014,2024-01-07 14:37:01,2024-01-07,222,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR003/2024/01/07/CALL000077.mp3,2024-01-07 14:37:01
CALL000078,DLR001,AGT003,CUS00719,CMP002,2024-01-05 09:35:21,2024-01-05,149,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/05/CALL000078.mp3,2024-01-05 09:35:21
CALL000079,DLR001,AGT005,CUS01078,CMP005,2024-01-09 18:36:05,2024-01-09,124,voicemail,outbound,no_answer,s3://bdc-recordings/DLR001/2024/01/09/CALL000079.mp3,2024-01-09 18:36:05
CALL000080,DLR004,AGT022,CUS01367,CMP018,2024-01-12 18:13:17,2024-01-12,221,voicemail,outbound,no_answer,s3://bdc-recordings/DLR004/2024/01/12/CALL000080.mp3,2024-01-12 18:13:17
CALL000081,DLR003,AGT013,CUS01452,CMP015,2024-01-26 10:45:24,2024-01-26,140,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/26/CALL000081.mp3,2024-01-26 10:45:24
CALL000082,DLR001,AGT004,CUS00270,CMP005,2024-01-01 15:01:28,2024-01-01,277,voicemail,outbound,no_answer,s3://bdc-recordings/DLR001/2024/01/01/CALL000082.mp3,2024-01-01 15:01:28
CALL000083,DLR005,AGT030,CUS00803,CMP023,2024-01-21 14:18:44,2024-01-21,234,no_answer,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/21/CALL000083.mp3,2024-01-21 14:18:44
CALL000084,DLR002,AGT012,CUS01271,CMP010,2024-01-09 12:11:28,2024-01-09,65,voicemail,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/09/CALL000084.mp3,2024-01-09 12:11:28
CALL000085,DLR005,AGT029,CUS00768,CMP021,2024-01-09 08:44:04,2024-01-09,193,voicemail,outbound,voicemail,s3://bdc-recordings/DLR005/2024/01/09/CALL000085.mp3,2024-01-09 08:44:04
CALL000086,DLR004,AGT024,CUS01628,CMP020,2024-01-28 08:43:24,2024-01-28,224,voicemail,outbound,no_answer,s3://bdc-recordings/DLR004/2024/01/28/CALL000086.mp3,2024-01-28 08:43:24
CALL000087,DLR003,AGT018,CUS00345,CMP011,2024-01-06 11:06:37,2024-01-06,276,appointment_set,outbound,no_answer,s3://bdc-recordings/DLR003/2024/01/06/CALL000087.mp3,2024-01-06 11:06:37
CALL000088,DLR004,AGT023,CUS01525,CMP016,2024-01-06 16:39:00,2024-01-06,314,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/06/CALL000088.mp3,2024-01-06 16:39:00
CALL000089,DLR005,AGT029,CUS00994,CMP023,2024-01-04 09:29:09,2024-01-04,177,complaint,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/04/CALL000089.mp3,2024-01-04 09:29:09
CALL000090,DLR001,AGT001,CUS01737,CMP001,2024-01-22 09:55:15,2024-01-22,335,voicemail,outbound,no_answer,s3://bdc-recordings/DLR001/2024/01/22/CALL000090.mp3,2024-01-22 09:55:15
CALL000091,DLR001,AGT004,CUS01974,CMP003,2024-01-12 08:26:20,2024-01-12,292,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/12/CALL000091.mp3,2024-01-12 08:26:20
CALL000092,DLR005,AGT026,CUS00681,CMP021,2024-01-21 11:18:04,2024-01-21,247,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR005/2024/01/21/CALL000092.mp3,2024-01-21 11:18:04
CALL000093,DLR004,AGT021,CUS00401,CMP018,2024-01-22 14:56:43,2024-01-22,358,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR004/2024/01/22/CALL000093.mp3,2024-01-22 14:56:43
CALL000094,DLR003,AGT015,CUS01393,CMP015,2024-01-05 09:51:51,2024-01-05,236,appointment_set,outbound,no_answer,s3://bdc-recordings/DLR003/2024/01/05/CALL000094.mp3,2024-01-05 09:51:51
CALL000095,DLR005,AGT027,CUS01491,CMP024,2024-01-12 14:13:59,2024-01-12,138,voicemail,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/12/CALL000095.mp3,2024-01-12 14:13:59
CALL000096,DLR005,AGT029,CUS01377,CMP023,2024-01-16 12:33:55,2024-01-16,184,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/16/CALL000096.mp3,2024-01-16 12:33:55
CALL000097,DLR003,AGT018,CUS00608,CMP012,2024-01-26 14:04:39,2024-01-26,347,information_provided,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/26/CALL000097.mp3,2024-01-26 14:04:39
CALL000098,DLR001,AGT001,CUS00095,CMP002,2024-01-13 08:44:27,2024-01-13,320,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/13/CALL000098.mp3,2024-01-13 08:44:27
CALL000099,DLR002,AGT012,CUS00042,CMP006,2024-01-06 10:29:16,2024-01-06,96,no_answer,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/06/CALL000099.mp3,2024-01-06 10:29:16
CALL000100,DLR005,AGT026,CUS00354,CMP024,2024-01-08 16:44:26,2024-01-08,329,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/08/CALL000100.mp3,2024-01-08 16:44:26
CALL000101,DLR003,AGT018,CUS01118,CMP014,2024-01-01 15:33:04,2024-01-01,193,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/01/CALL000101.mp3,2024-01-01 15:33:04
CALL000102,DLR004,AGT019,CUS01555,CMP016,2024-01-15 10:01:38,2024-01-15,204,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/15/CALL000102.mp3,2024-01-15 10:01:38
CALL000103,DLR001,AGT003,CUS01831,CMP002,2024-01-18 12:30:34,2024-01-18,148,voicemail,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/18/CALL000103.mp3,2024-01-18 12:30:34
CALL000104,DLR004,AGT019,CUS00229,CMP019,2024-01-01 13:12:42,2024-01-01,180,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR004/2024/01/01/CALL000104.mp3,2024-01-01 13:12:42
CALL000105,DLR003,AGT017,CUS00487,CMP014,2024-01-06 11:57:25,2024-01-06,120,information_provided,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/06/CALL000105.mp3,2024-01-06 11:57:25
CALL000106,DLR002,AGT008,CUS00219,CMP010,2024-01-20 12:42:41,2024-01-20,155,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/20/CALL000106.mp3,2024-01-20 12:42:41
CALL000107,DLR003,AGT016,CUS01080,CMP012,2024-01-19 14:18:39,2024-01-19,179,voicemail,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/19/CALL000107.mp3,2024-01-19 14:18:39
CALL000108,DLR001,AGT006,CUS01643,CMP005,2024-01-29 14:14:18,2024-01-29,92,information_provided,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/29/CALL000108.mp3,2024-01-29 14:14:18
CALL000109,DLR002,AGT009,CUS01688,CMP008,2024-01-27 09:28:15,2024-01-27,184,callback_requested,outbound,voicemail,s3://bdc-recordings/DLR002/2024/01/27/CALL000109.mp3,2024-01-27 09:28:15
CALL000110,DLR003,AGT018,CUS00072,CMP014,2024-01-04 08:34:48,2024-01-04,235,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/04/CALL000110.mp3,2024-01-04 08:34:48
CALL000111,DLR002,AGT011,CUS01714,CMP008,2024-01-02 13:41:20,2024-01-02,229,information_provided,outbound,no_answer,s3://bdc-recordings/DLR002/2024/01/02/CALL000111.mp3,2024-01-02 13:41:20
CALL000112,DLR003,AGT013,CUS01714,CMP015,2024-01-15 11:20:35,2024-01-15,90,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/15/CALL000112.mp3,2024-01-15 11:20:35
CALL000113,DLR002,AGT011,CUS00850,CMP008,2024-01-01 09:40:33,2024-01-01,172,voicemail,outbound,live_connect,s3://bdc-recordings/DLR002/2024/01/01/CALL000113.mp3,2024-01-01 09:40:33
CALL000114,DLR001,AGT002,CUS00480,CMP005,2024-01-05 10:14:01,2024-01-05,147,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/05/CALL000114.mp3,2024-01-05 10:14:01
CALL000115,DLR003,AGT016,CUS00355,CMP013,2024-01-23 13:31:49,2024-01-23,209,no_answer,outbound,no_answer,s3://bdc-recordings/DLR003/2024/01/23/CALL000115.mp3,2024-01-23 13:31:49
CALL000116,DLR003,AGT015,CUS01983,CMP014,2024-01-06 11:19:58,2024-01-06,185,no_answer,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/06/CALL000116.mp3,2024-01-06 11:19:58
CALL000117,DLR001,AGT001,CUS01874,CMP001,2024-01-12 15:32:58,2024-01-12,258,appointment_set,outbound,voicemail,s3://bdc-recordings/DLR001/2024/01/12/CALL000117.mp3,2024-01-12 15:32:58
CALL000118,DLR005,AGT026,CUS01874,CMP021,2024-01-18 17:24:50,2024-01-18,356,appointment_set,outbound,no_answer,s3://bdc-recordings/DLR005/2024/01/18/CALL000118.mp3,2024-01-18 17:24:50
CALL000119,DLR003,AGT014,CUS00041,CMP013,2024-01-26 15:20:01,2024-01-26,184,appointment_set,outbound,no_answer,s3://bdc-recordings/DLR003/2024/01/26/CALL000119.mp3,2024-01-26 15:20:01
CALL000120,DLR004,AGT020,CUS00997,CMP017,2024-01-25 11:22:01,2024-01-25,229,callback_requested,outbound,live_connect,s3://bdc-recordings/DLR004/2024/01/25/CALL000120.mp3,2024-01-25 11:22:01
CALL000121,DLR001,AGT006,CUS01304,CMP002,2024-01-12 09:26:48,2024-01-12,115,voicemail,outbound,live_connect,s3://bdc-recordings/DLR001/2024/01/12/CALL000121.mp3,2024-01-12 09:26:48
CALL000122,DLR003,AGT018,CUS01972,CMP011,2024-01-22 16:53:57,2024-01-22,217,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/22/CALL000122.mp3,2024-01-22 16:53:57
CALL000123,DLR005,AGT029,CUS01728,CMP023,2024-01-27 18:33:53,2024-01-27,169,no_answer,outbound,live_connect,s3://bdc-recordings/DLR005/2024/01/27/CALL000123.mp3,2024-01-27 18:33:53
CALL000124,DLR003,AGT013,CUS00573,CMP011,2024-01-14 14:15:58,2024-01-14,142,appointment_set,outbound,live_connect,s3://bdc-recordings/DLR003/2024/01/14/CALL000124.mp3,2024-01-14 14:15:58
CALL000125,DLR001,AGT002,CUS01033,CMP001,2024-01-22 10:25:43,2024-01-22,90,no_answer,outbound,no_answer,s3://bdc-recordings/DLR001/2024/01/22/CALL000125.mp3,2024-01-22 10:25:43
