APPOINTMENT_ID,CALL_ID,DEALER_ID,AGENT_ID,CUSTOMER_ID,APPOINTMENT_DATETIME,APPOINTMENT_DATE,APPOINTMENT_TYPE,STATUS,DURATION_MINUTES,NOTES,CREATED_AT
APT00022,CALL000074,DLR004,AGT019,CUS00609,2024-02-08 00:43:45,2024-02-08,transmission_service,confirmed,90,,2024-01-29 07:43:45
APT00023,CALL000075,DLR003,AGT017,CUS00038,2024-01-07 20:45:44,2024-01-07,lease_return,confirmed,120,,2024-01-03 09:45:44
APT00024,CALL000076,DLR004,AGT021,CUS00329,2024-01-17 04:06:35,2024-01-17,brake_service,showed,120,,2024-01-05 16:06:35
APT00025,CALL000077,DLR003,AGT018,CUS01188,2024-01-20 07:37:01,2024-01-20,brake_service,scheduled,60,,2024-01-07 14:37:01
APT00026,CALL000078,DLR001,AGT003,CUS00719,2024-01-11 00:35:21,2024-01-11,sales_consultation,scheduled,120,,2024-01-05 09:35:21
APT00027,CALL000087,DLR003,AGT018,CUS00345,2024-01-11 22:06:37,2024-01-11,transmission_service,showed,45,,2024-01-06 11:06:37
APT00028,CALL000088,DLR004,AGT023,CUS01525,2024-01-20 09:39:00,2024-01-20,oil_change,scheduled,45,,2024-01-06 16:39:00
APT00029,CALL000091,DLR001,AGT004,CUS01974,2024-01-23 22:26:20,2024-01-23,sales_consultation,showed,120,,2024-01-12 08:26:20
APT00030,CALL000092,DLR005,AGT026,CUS00681,2024-02-03 00:18:04,2024-02-03,oil_change,confirmed,45,,2024-01-21 11:18:04
APT00031,CALL000093,DLR004,AGT021,CUS00401,2024-02-01 22:56:43,2024-02-01,sales_consultation,no_show,120,,2024-01-22 14:56:43
APT00032,CALL000094,DLR003,AGT015,CUS01393,2024-01-09 01:51:51,2024-01-09,multi_point_inspection,showed,30,,2024-01-05 09:51:51
APT00033,CALL000096,DLR005,AGT029,CUS01377,2024-01-24 03:33:55,2024-01-24,multi_point_inspection,scheduled,30,,2024-01-16 12:33:55
APT00034,CALL000098,DLR001,AGT001,CUS00095,2024-01-22 19:44:27,2024-01-22,brake_service,confirmed,30,,2024-01-13 08:44:27
APT00035,CALL000100,DLR005,AGT026,CUS00354,2024-01-23 05:44:26,2024-01-23,lease_return,showed,45,,2024-01-08 16:44:26
APT00036,CALL000102,DLR004,AGT019,CUS01555,2024-01-29 19:01:38,2024-01-29,tire_rotation,no_show,60,,2024-01-15 10:01:38
APT00037,CALL000104,DLR004,AGT019,CUS00229,2024-01-07 23:12:42,2024-01-07,transmission_service,scheduled,45,,2024-01-01 13:12:42
APT00038,CALL000110,DLR003,AGT018,CUS00072,2024-01-09 19:34:48,2024-01-09,sales_consultation,scheduled,30,,2024-01-04 08:34:48
APT00039,CALL000114,DLR001,AGT002,CUS00480,2024-01-18 20:14:01,2024-01-18,oil_change,confirmed,45,,2024-01-05 10:14:01
APT00040,CALL000117,DLR001,AGT001,CUS01874,2024-01-25 01:32:58,2024-01-25,brake_service,showed,90,,2024-01-12 15:32:58
APT00041,CALL000118,DLR005,AGT026,CUS01874,2024-01-21 10:24:50,2024-01-21,lease_return,scheduled,90,,2024-01-18 17:24:50
APT00042,CALL000119,DLR003,AGT014,CUS00041,2024-01-30 05:20:01,2024-01-30,tire_rotation,cancelled,30,,2024-01-26 15:20:01
APT00043,CALL000122,DLR003,AGT018,CUS01972,2024-02-06 02:53:57,2024-02-06,recall_repair,scheduled,30,,2024-01-22 16:53:57
APT00044,CALL000124,DLR003,AGT013,CUS00573,2024-01-19 04:15:58,2024-01-19,recall_repair,no_show,45,,2024-01-14 14:15:58
APT00045,CALL000130,DLR002,AGT008,CUS01638,2024-01-31 04:45:53,2024-01-31,oil_change,scheduled,30,,2024-01-29 13:45:53
APT00046,CALL000144,DLR003,AGT014,CUS01576,2024-01-16 04:10:09,2024-01-16,oil_change,showed,120,,2024-01-10 15:10:09
APT00047,CALL000147,DLR005,AGT026,CUS01057,2024-01-30 22:07:30,2024-01-30,recall_repair,showed,90,,2024-01-16 10:07:30
APT00048,CALL000158,DLR005,AGT029,CUS00633,2024-02-13 04:13:42,2024-02-13,brake_service,showed,30,,2024-01-30 15:13:42
APT00049,CALL000165,DLR003,AGT015,CUS00400,2024-01-22 03:14:42,2024-01-22,lease_return,confirmed,120,,2024-01-09 11:14:42
APT00050,CALL000168,DLR003,AGT018,CUS00518,2024-01-10 00:40:28,2024-01-10,tire_rotation,scheduled,90,,2024-01-03 09:40:28
APT00051,CALL000169,DLR003,AGT013,CUS01867,2024-01-14 20:45:45,2024-01-14,transmission_service,scheduled,120,,2024-01-11 11:45:45
APT00052,CALL000176,DLR002,AGT007,CUS00757,2024-01-27 22:03:10,2024-01-27,transmission_service,cancelled,45,,2024-01-22 11:03:10
APT00053,CALL000180,DLR005,AGT026,CUS01231,2024-01-14 19:16:12,2024-01-14,recall_repair,confirmed,30,,2024-01-06 11:16:12
APT00054,CALL000181,DLR003,AGT017,CUS00781,2024-01-12 00:05:41,2024-01-12,transmission_service,showed,30,,2024-01-05 15:05:41
APT00055,CALL000188,DLR005,AGT029,CUS01725,2024-01-14 05:31:28,2024-01-14,transmission_service,showed,45,,2024-01-07 16:31:28
APT00056,CALL000190,DLR004,AGT021,CUS01033,2024-01-13 19:21:37,2024-01-13,transmission_service,scheduled,120,,2024-01-08 07:21:37
APT00057,CALL000193,DLR005,AGT028,CUS00684,2024-01-27 19:04:43,2024-01-27,multi_point_inspection,showed,90,,2024-01-23 11:04:43
APT00058,CALL000194,DLR003,AGT016,CUS01867,2024-01-24 19:47:57,2024-01-24,multi_point_inspection,confirmed,90,,2024-01-23 09:47:57
APT00059,CALL000198,DLR001,AGT004,CUS01530,2024-01-26 06:33:05,2024-01-26,lease_return,showed,90,,2024-01-17 14:33:05
APT00060,CALL000202,DLR001,AGT002,CUS00927,2024-01-11 05:56:12,2024-01-11,multi_point_inspection,cancelled,30,,2024-01-02 16:56:12
APT00061,CALL000209,DLR005,AGT027,CUS01652,2024-01-29 23:02:33,2024-01-29,transmission_service,no_show,45,,2024-01-23 11:02:33
APT00062,CALL000218,DLR005,AGT025,CUS00272,2024-01-27 17:53:26,2024-01-27,sales_consultation,showed,30,,2024-01-21 09:53:26
APT00063,CALL000220,DLR003,AGT014,CUS01967,2024-01-20 09:05:52,2024-01-20,sales_consultation,scheduled,30,,2024-01-06 16:05:52
APT00064,CALL000222,DLR003,AGT016,CUS01468,2024-02-05 05:23:37,2024-02-05,oil_change,confirmed,90,,2024-01-29 12:23:37
APT00065,CALL000224,DLR005,AGT030,CUS00823,2024-01-22 16:31:58,2024-01-22,sales_consultation,showed,120,,2024-01-20 08:31:58
APT00066,CALL000226,DLR004,AGT021,CUS00113,2024-01-31 09:49:45,2024-01-31,transmission_service,scheduled,45,,2024-01-22 16:49:45
APT00067,CALL000227,DLR005,AGT026,CUS00378,2024-01-26 07:33:04,2024-01-26,lease_return,confirmed,45,,2024-01-19 14:33:04
APT00068,CALL000228,DLR001,AGT006,CUS00821,2024-01-02 23:06:22,2024-01-02,tire_rotation,showed,60,,2024-01-01 13:06:22
APT00069,CALL000236,DLR003,AGT017,CUS01117,2024-02-10 22:50:53,2024-02-10,multi_point_inspection,showed,45,,2024-01-27 10:50:53
APT00070,CALL000239,DLR004,AGT021,CUS00844,2024-02-02 17:06:34,2024-02-02,lease_return,confirmed,60,,2024-01-19 08:06:34
APT00071,CALL000240,DLR002,AGT007,CUS01590,2024-02-02 19:55:39,2024-02-02,tire_rotation,scheduled,30,,2024-01-19 09:55:39
APT00072,CALL000241,DLR005,AGT029,CUS00719,2024-01-12 01:01:01,2024-01-12,brake_service,showed,30,,2024-01-08 14:01:01
APT00073,CALL000245,DLR002,AGT009,CUS01606,2024-01-16 08:07:29,2024-01-16,transmission_service,showed,90,,2024-01-14 16:07:29
APT00074,CALL000246,DLR004,AGT023,CUS00651,2024-02-12 03:16:27,2024-02-12,tire_rotation,showed,60,,2024-01-30 11:16:27
APT00075,CALL000250,DLR002,AGT009,CUS00300,2024-01-30 00:25:03,2024-01-30,sales_consultation,showed,30,,2024-01-28 14:25:03
APT00076,CALL000251,DLR005,AGT026,CUS00240,2024-01-28 23:24:10,2024-01-28,recall_repair,showed,30,,2024-01-26 12:24:10
APT00077,CALL000254,DLR004,AGT020,CUS00333,2024-01-17 19:43:38,2024-01-17,recall_repair,confirmed,45,,2024-01-12 11:43:38
APT00078,CALL000258,DLR005,AGT030,CUS00256,2024-01-12 19:56:08,2024-01-12,tire_rotation,showed,60,,2024-01-11 11:56:08
APT00079,CALL000261,DLR004,AGT021,CUS01125,2024-01-29 18:56:46,2024-01-29,brake_service,confirmed,60,,2024-01-26 10:56:46
APT00080,CALL000267,DLR002,AGT008,CUS01351,2024-02-01 03:30:13,2024-02-01,multi_point_inspection,showed,60,,2024-01-20 16:30:13
APT00081,CALL000268,DLR004,AGT022,CUS00013,2024-01-25 03:53:37,2024-01-25,oil_change,confirmed,90,,2024-01-13 14:53:37
APT00082,CALL000270,DLR001,AGT003,CUS00678,2024-01-17 21:27:54,2024-01-17,oil_change,scheduled,60,,2024-01-16 09:27:54
APT00083,CALL000271,DLR003,AGT017,CUS01287,2024-01-24 03:46:10,2024-01-24,brake_service,showed,30,,2024-01-16 10:46:10
APT00084,CALL000274,DLR003,AGT016,CUS01472,2024-01-25 03:36:25,2024-01-25,sales_consultation,scheduled,60,,2024-01-22 14:36:25
APT00085,CALL000279,DLR004,AGT019,CUS00366,2024-01-30 22:15:14,2024-01-30,sales_consultation,no_show,30,,2024-01-18 14:15:14
APT00086,CALL000283,DLR001,AGT004,CUS00146,2024-01-23 05:59:08,2024-01-23,oil_change,confirmed,30,,2024-01-19 12:59:08
APT00087,CALL000286,DLR005,AGT026,CUS00846,2024-02-04 22:46:36,2024-02-04,sales_consultation,no_show,120,,2024-01-26 09:46:36
APT00088,CALL000288,DLR002,AGT008,CUS00074,2024-01-21 07:28:59,2024-01-21,lease_return,confirmed,120,,2024-01-18 15:28:59
APT00089,CALL000292,DLR003,AGT018,CUS01430,2024-01-14 07:04:28,2024-01-14,recall_repair,confirmed,30,,2024-01-04 16:04:28
APT00090,CALL000293,DLR002,AGT010,CUS00676,2024-01-23 23:17:34,2024-01-23,oil_change,scheduled,30,,2024-01-17 09:17:34
APT00091,CALL000294,DLR005,AGT025,CUS01016,2024-01-08 22:50:11,2024-01-08,lease_return,confirmed,45,,2024-01-05 10:50:11
APT00092,CALL000296,DLR001,AGT004,CUS00346,2024-02-05 01:53:29,2024-02-05,brake_service,no_show,45,,2024-01-30 15:53:29
APT00093,CALL000300,DLR001,AGT004,CUS00097,2024-01-15 21:06:54,2024-01-15,transmission_service,showed,90,,2024-01-07 10:06:54
APT00094,CALL000307,DLR005,AGT025,CUS00193,2024-02-07 01:41:22,2024-02-07,oil_change,no_show,45,,2024-01-27 15:41:22
APT00095,CALL000308,DLR002,AGT008,CUS00855,2024-02-01 23:32:58,2024-02-01,tire_rotation,scheduled,45,,2024-01-19 12:32:58
APT00096,CALL000312,DLR002,AGT007,CUS00071,2024-01-12 00:16:21,2024-01-12,multi_point_inspection,confirmed,60,,2024-01-04 10:16:21
APT00097,CALL000313,DLR004,AGT020,CUS00968,2024-02-12 05:42:06,2024-02-12,oil_change,showed,30,,2024-01-28 13:42:06
APT00098,CALL000315,DLR004,AGT023,CUS01008,2024-01-20 02:36:18,2024-01-20,lease_return,no_show,60,,2024-01-11 14:36:18
APT00099,CALL000317,DLR001,AGT005,CUS00201,2024-01-16 20:00:57,2024-01-16,brake_service,no_show,45,,2024-01-05 11:00:57
APT00100,CALL000318,DLR005,AGT029,CUS00119,2024-02-02 22:30:20,2024-02-02,transmission_service,scheduled,90,,2024-01-29 09:30:20
APT00101,CALL000320,DLR004,AGT021,CUS01456,2024-01-22 20:00:42,2024-01-22,multi_point_inspection,scheduled,60,,2024-01-20 09:00:42
APT00102,CALL000326,DLR001,AGT005,CUS01588,2024-01-12 04:19:48,2024-01-12,brake_service,showed,60,,2024-01-06 17:19:48
APT00103,CALL000333,DLR004,AGT021,CUS01362,2024-01-16 04:08:00,2024-01-16,transmission_service,showed,90,,2024-01-12 14:08:00
APT00104,CALL000338,DLR002,AGT010,CUS00532,2024-01-10 02:52:11,2024-01-10,tire_rotation,confirmed,60,,2024-01-02 11:52:11
APT00105,CALL000345,DLR004,AGT021,CUS00578,2024-01-15 07:58:42,2024-01-15,brake_service,scheduled,60,,2024-01-12 18:58:42
APT00106,CALL000346,DLR005,AGT030,CUS00057,2024-01-25 22:34:53,2024-01-25,tire_rotation,confirmed,120,,2024-01-15 13:34:53
APT00107,CALL000352,DLR001,AGT004,CUS00366,2024-02-08 01:53:38,2024-02-08,recall_repair,confirmed,60,,2024-01-27 09:53:38
APT00108,CALL000354,DLR002,AGT009,CUS01578,2024-01-11 20:44:08,2024-01-11,sales_consultation,showed,120,,2024-01-05 11:44:08
APT00109,CALL000360,DLR005,AGT029,CUS00274,2024-02-08 18:41:27,2024-02-08,lease_return,confirmed,60,,2024-01-25 10:41:27
APT00110,CALL000366,DLR005,AGT027,CUS01489,2024-01-04 19:56:45,2024-01-04,recall_repair,no_show,120,,2024-01-03 10:56:45
APT00111,CALL000368,DLR004,AGT021,CUS01152,2024-01-25 00:02:38,2024-01-25,multi_point_inspection,confirmed,60,,2024-01-19 16:02:38
APT00112,CALL000369,DLR003,AGT013,CUS00181,2024-01-10 06:46:37,2024-01-10,brake_service,showed,45,,2024-01-06 13:46:37
APT00113,CALL000371,DLR002,AGT010,CUS01396,2024-02-06 05:17:02,2024-02-06,transmission_service,showed,90,,2024-01-30 14:17:02
APT00114,CALL000373,DLR003,AGT018,CUS00136,2024-01-16 18:15:36,2024-01-16,oil_change,showed,30,,2024-01-13 10:15:36
APT00115,CALL000376,DLR005,AGT025,CUS00182,2024-01-09 03:21:24,2024-01-09,lease_return,confirmed,90,,2024-01-06 15:21:24
APT00116,CALL000378,DLR003,AGT014,CUS00131,2024-01-09 19:42:42,2024-01-09,recall_repair,scheduled,120,,2024-01-07 10:42:42
APT00117,CALL000386,DLR001,AGT004,CUS01290,2024-01-18 07:06:26,2024-01-18,recall_repair,scheduled,45,,2024-01-12 16:06:26
APT00118,CALL000388,DLR005,AGT025,CUS01995,2024-01-31 01:25:15,2024-01-31,oil_change,showed,45,,2024-01-22 11:25:15
APT00119,CALL000393,DLR005,AGT028,CUS01381,2024-01-21 01:28:26,2024-01-21,transmission_service,cancelled,45,,2024-01-17 14:28:26
APT00120,CALL000394,DLR003,AGT013,CUS01315,2024-01-08 01:44:09,2024-01-08,recall_repair,confirmed,45,,2024-01-03 15:44:09
APT00121,CALL000396,DLR003,AGT017,CUS00142,2024-01-12 06:00:53,2024-01-12,multi_point_inspection,scheduled,30,,2024-01-09 15:00:53
APT00122,CALL000398,DLR004,AGT020,CUS01446,2024-01-27 19:26:22,2024-01-27,tire_rotation,showed,30,,2024-01-16 10:26:22
APT00123,CALL000399,DLR001,AGT004,CUS00479,2024-01-18 21:17:54,2024-01-18,sales_consultation,scheduled,60,,2024-01-06 10:17:54
APT00124,CALL000400,DLR005,AGT030,CUS01075,2024-02-02 00:10:26,2024-02-02,oil_change,showed,60,,2024-01-25 15:10:26
APT00125,CALL000403,DLR005,AGT028,CUS01638,2024-02-05 20:11:33,2024-02-05,multi_point_inspection,showed,45,,2024-01-27 11:11:33
APT00126,CALL000408,DLR004,AGT024,CUS01408,2024-01-31 20:04:42,2024-01-31,recall_repair,confirmed,30,,2024-01-29 10:04:42
APT00127,CALL000411,DLR004,AGT019,CUS01877,2024-01-15 01:56:09,2024-01-15,multi_point_inspection,confirmed,60,,2024-01-13 14:56:09
APT00128,CALL000415,DLR004,AGT021,CUS00900,2024-01-27 07:15:50,2024-01-27,transmission_service,showed,90,,2024-01-17 16:15:50
APT00129,CALL000417,DLR003,AGT014,CUS00401,2024-01-15 20:14:56,2024-01-15,lease_return,showed,120,,2024-01-09 11:14:56
APT00130,CALL000420,DLR001,AGT001,CUS00027,2024-02-11 05:11:03,2024-02-11,sales_consultation,showed,45,,2024-01-29 12:11:03
APT00131,CALL000425,DLR002,AGT011,CUS00350,2024-01-07 01:34:59,2024-01-07,brake_service,scheduled,60,,2024-01-05 11:34:59
APT00132,CALL000427,DLR002,AGT011,CUS00584,2024-01-28 17:41:29,2024-01-28,tire_rotation,confirmed,30,,2024-01-23 09:41:29
APT00133,CALL000428,DLR001,AGT005,CUS00785,2024-01-15 20:52:44,2024-01-15,transmission_service,scheduled,60,,2024-01-11 11:52:44
APT00134,CALL000434,DLR004,AGT020,CUS00413,2024-01-21 04:13:01,2024-01-21,oil_change,scheduled,90,,2024-01-15 11:13:01
APT00135,CALL000437,DLR003,AGT018,CUS00202,2024-01-07 05:44:43,2024-01-07,oil_change,no_show,45,,2024-01-05 14:44:43
APT00136,CALL000442,DLR003,AGT014,CUS01454,2024-01-23 06:32:59,2024-01-23,oil_change,showed,60,,2024-01-16 17:32:59
APT00137,CALL000443,DLR005,AGT025,CUS00758,2024-01-22 17:04:17,2024-01-22,recall_repair,confirmed,45,,2024-01-10 08:04:17
APT00138,CALL000454,DLR002,AGT010,CUS00269,2024-01-31 20:38:03,2024-01-31,multi_point_inspection,showed,30,,2024-01-18 09:38:03
APT00139,CALL000456,DLR005,AGT030,CUS00892,2024-01-18 01:52:31,2024-01-18,brake_service,no_show,60,,2024-01-06 10:52:31
APT00140,CALL000458,DLR004,AGT021,CUS00987,2024-01-16 05:05:32,2024-01-16,sales_consultation,showed,60,,2024-01-10 14:05:32
APT00141,CALL000459,DLR004,AGT020,CUS00152,2024-01-18 06:55:23,2024-01-18,tire_rotation,no_show,45,,2024-01-11 13:55:23
APT00142,CALL000467,DLR004,AGT021,CUS01887,2024-01-13 16:26:05,2024-01-13,tire_rotation,scheduled,120,,2024-01-03 08:26:05
APT00143,CALL000471,DLR004,AGT023,CUS01599,2024-01-21 19:45:21,2024-01-21,oil_change,confirmed,120,,2024-01-18 11:45:21
APT00144,CALL000474,DLR001,AGT004,CUS00796,2024-02-06 02:53:34,2024-02-06,brake_service,showed,60,,2024-01-24 16:53:34
APT00145,CALL000477,DLR004,AGT024,CUS01795,2024-01-24 20:00:23,2024-01-24,brake_service,showed,30,,2024-01-18 09:00:23
APT00146,CALL000479,DLR003,AGT018,CUS00249,2024-01-10 00:33:45,2024-01-10,brake_service,showed,120,,2024-01-05 12:33:45
APT00147,CALL000482,DLR003,AGT015,CUS00246,2024-01-27 21:12:13,2024-01-27,brake_service,showed,60,,2024-01-26 11:12:13
APT00148,CALL000483,DLR002,AGT010,CUS00389,2024-02-11 01:57:59,2024-02-11,lease_return,confirmed,120,,2024-01-29 10:57:59
APT00149,CALL000486,DLR005,AGT026,CUS00787,2024-01-12 01:41:03,2024-01-12,oil_change,scheduled,120,,2024-01-03 10:41:03
APT00150,CALL000491,DLR003,AGT015,CUS01208,2024-02-02 02:24:05,2024-02-02,multi_point_inspection,cancelled,120,,2024-01-18 16:24:05
APT00151,CALL000492,DLR004,AGT023,CUS01367,2024-01-15 07:27:14,2024-01-15,brake_service,showed,120,,2024-01-04 14:27:14
APT00152,CALL000493,DLR003,AGT017,CUS01723,2024-01-10 22:24:52,2024-01-10,oil_change,scheduled,60,,2024-01-03 09:24:52
APT00153,CALL000499,DLR005,AGT026,CUS01443,2024-01-23 07:59:28,2024-01-23,multi_point_inspection,scheduled,30,,2024-01-20 14:59:28
APT00154,CALL000501,DLR003,AGT017,CUS01374,2024-02-05 09:54:06,2024-02-05,brake_service,confirmed,60,,2024-01-27 16:54:06
APT00155,CALL000503,DLR002,AGT010,CUS00599,2024-01-14 02:32:27,2024-01-14,sales_consultation,confirmed,90,,2024-01-04 14:32:27
APT00156,CALL000509,DLR005,AGT030,CUS01054,2024-02-04 02:33:27,2024-02-04,sales_consultation,confirmed,60,,2024-01-20 15:33:27
APT00157,CALL000511,DLR003,AGT017,CUS00364,2024-01-10 04:22:25,2024-01-10,multi_point_inspection,showed,45,,2024-01-06 17:22:25
APT00158,CALL000516,DLR004,AGT020,CUS01588,2024-01-24 18:55:53,2024-01-24,multi_point_inspection,confirmed,90,,2024-01-19 09:55:53
APT00159,CALL000518,DLR005,AGT026,CUS00207,2024-02-07 22:45:58,2024-02-07,recall_repair,confirmed,120,,2024-01-30 13:45:58
APT00160,CALL000519,DLR005,AGT025,CUS00366,2024-01-17 21:27:05,2024-01-17,brake_service,confirmed,60,,2024-01-13 11:27:05
APT00161,CALL000522,DLR003,AGT018,CUS01257,2024-01-07 23:32:13,2024-01-07,recall_repair,scheduled,30,,2024-01-02 13:32:13
APT00162,CALL000523,DLR004,AGT022,CUS00532,2024-01-15 02:46:05,2024-01-15,transmission_service,no_show,45,,2024-01-06 10:46:05
APT00163,CALL000524,DLR003,AGT016,CUS01831,2024-02-11 00:40:11,2024-02-11,sales_consultation,scheduled,90,,2024-01-27 10:40:11
APT00164,CALL000525,DLR005,AGT025,CUS01730,2024-01-27 06:17:13,2024-01-27,oil_change,showed,120,,2024-01-25 14:17:13
APT00165,CALL000528,DLR004,AGT022,CUS01717,2024-01-18 23:21:11,2024-01-18,sales_consultation,showed,45,,2024-01-11 09:21:11
APT00166,CALL000532,DLR005,AGT028,CUS00249,2024-01-20 00:38:20,2024-01-20,oil_change,confirmed,45,,2024-01-08 12:38:20
APT00167,CALL000539,DLR005,AGT028,CUS01670,2024-01-16 00:56:31,2024-01-16,tire_rotation,confirmed,90,,2024-01-07 13:56:31
APT00168,CALL000540,DLR004,AGT023,CUS00498,2024-02-01 01:38:51,2024-02-01,multi_point_inspection,scheduled,30,,2024-01-19 11:38:51
APT00169,CALL000541,DLR003,AGT016,CUS01859,2024-01-29 03:20:23,2024-01-29,multi_point_inspection,confirmed,120,,2024-01-18 10:20:23
APT00170,CALL000543,DLR002,AGT010,CUS01300,2024-01-28 07:24:16,2024-01-28,sales_consultation,scheduled,45,,2024-01-18 15:24:16
APT00171,CALL000544,DLR001,AGT002,CUS00460,2024-01-23 03:21:37,2024-01-23,recall_repair,no_show,90,,2024-01-08 10:21:37
APT00172,CALL000547,DLR003,AGT014,CUS01820,2024-01-13 23:16:49,2024-01-13,transmission_service,confirmed,90,,2024-01-04 14:16:49
APT00173,CALL000548,DLR004,AGT022,CUS01807,2024-01-15 02:59:28,2024-01-15,transmission_service,scheduled,30,,2024-01-08 16:59:28
APT00174,CALL000553,DLR002,AGT011,CUS01881,2024-02-02 09:19:36,2024-02-02,brake_service,no_show,120,,2024-01-28 17:19:36
APT00175,CALL000556,DLR003,AGT015,CUS01551,2024-01-29 20:48:37,2024-01-29,lease_return,confirmed,45,,2024-01-23 09:48:37
APT00176,CALL000557,DLR001,AGT004,CUS01076,2024-01-11 20:24:35,2024-01-11,recall_repair,scheduled,90,,2024-01-10 11:24:35
APT00177,CALL000559,DLR002,AGT011,CUS00114,2024-02-02 03:58:54,2024-02-02,recall_repair,showed,90,,2024-01-22 10:58:54
APT00178,CALL000563,DLR001,AGT004,CUS01586,2024-01-30 04:59:41,2024-01-30,tire_rotation,no_show,30,,2024-01-20 14:59:41
APT00179,CALL000565,DLR005,AGT026,CUS00704,2024-02-07 20:42:36,2024-02-07,multi_point_inspection,confirmed,45,,2024-01-30 09:42:36
APT00180,CALL000583,DLR004,AGT024,CUS01023,2024-01-17 00:45:03,2024-01-17,oil_change,showed,90,,2024-01-09 12:45:03
APT00181,CALL000589,DLR002,AGT008,CUS00551,2024-01-29 23:21:02,2024-01-29,sales_consultation,confirmed,30,,2024-01-17 15:21:02
APT00182,CALL000590,DLR004,AGT024,CUS00603,2024-02-04 01:05:48,2024-02-04,oil_change,confirmed,90,,2024-01-22 12:05:48
APT00183,CALL000591,DLR004,AGT020,CUS01476,2024-02-11 02:47:27,2024-02-11,multi_point_inspection,showed,60,,2024-01-29 16:47:27
APT00184,CALL000596,DLR005,AGT025,CUS00319,2024-01-22 01:21:12,2024-01-22,tire_rotation,confirmed,120,,2024-01-20 15:21:12
APT00185,CALL000600,DLR001,AGT004,CUS00285,2024-01-28 06:23:12,2024-01-28,recall_repair,no_show,90,,2024-01-14 18:23:12
APT00186,CALL000601,DLR001,AGT003,CUS00653,2024-01-13 01:40:28,2024-01-13,recall_repair,no_show,30,,2024-01-09 15:40:28
APT00187,CALL000602,DLR003,AGT015,CUS00112,2024-02-06 23:26:42,2024-02-06,transmission_service,scheduled,30,,2024-01-30 09:26:42
