SCORE_ID,CALL_ID,AGENT_ID,GREETING,ACTIVE_LISTENING,OBJECTION_HANDLING,PRODUCT_KNOWLEDGE,CLOSING,PROFESSIONALISM,OVERALL_SCORE,SCORED_BY,NOTES,CREATED_AT
SCR000045,CALL000045,AGT019,85,74,50,85,67,83,74,AI,,2024-01-07 15:17:03
SCR000046,CALL000046,AGT029,87,50,84,70,82,48,70,AI,,2024-01-29 07:14:13
SCR000047,CALL000047,AGT026,71,74,78,78,72,84,76,supervisor,,2024-01-04 16:33:42
SCR000048,CALL000048,AGT007,80,65,46,61,79,67,66,supervisor,,2024-01-08 17:21:06
SCR000049,CALL000049,AGT016,45,64,55,87,55,82,64,supervisor,,2024-01-24 08:49:40
SCR000050,CALL000050,AGT022,49,53,89,49,46,62,58,supervisor,,2024-01-03 08:31:21
SCR000051,CALL000051,AGT014,50,75,48,52,53,88,61,supervisor,,2024-01-03 15:01:06
SCR000052,CALL000052,AGT002,75,63,75,69,57,27,61,AI,,2024-01-11 11:58:02
SCR000053,CALL000053,AGT004,84,70,89,87,66,89,80,supervisor,,2024-01-16 11:23:44
SCR000054,CALL000054,AGT006,60,43,47,57,59,63,54,supervisor,,2024-01-09 10:24:32
SCR000055,CALL000055,AGT023,70,86,65,99,68,95,80,AI,,2024-01-18 15:54:30
SCR000056,CALL000056,AGT006,69,26,72,33,73,27,50,AI,,2024-01-25 16:13:16
SCR000057,CALL000057,AGT003,83,87,61,74,84,73,77,supervisor,,2024-01-08 14:21:00
SCR000058,CALL000058,AGT003,77,89,48,62,46,74,66,AI,,2024-01-14 10:07:26
SCR000059,CALL000059,AGT014,79,74,68,80,71,47,69,AI,,2024-01-02 09:57:51
SCR000060,CALL000060,AGT010,77,95,73,81,75,71,78,AI,,2024-01-08 16:02:51
SCR000061,CALL000061,AGT009,60,55,75,60,88,87,70,AI,,2024-01-05 12:30:56
SCR000062,CALL000062,AGT015,96,98,83,74,96,73,86,AI,,2024-01-14 11:52:27
SCR000063,CALL000063,AGT004,77,79,79,86,94,79,82,supervisor,,2024-01-12 16:47:20
SCR000064,CALL000064,AGT007,60,74,81,55,77,79,71,supervisor,,2024-01-29 13:15:48
SCR000065,CALL000065,AGT029,90,72,78,69,85,71,77,supervisor,,2024-01-13 11:02:59
SCR000066,CALL000066,AGT011,90,61,51,72,68,47,64,AI,,2024-01-18 11:05:56
SCR000067,CALL000067,AGT030,73,66,64,86,59,72,70,supervisor,,2024-01-05 13:23:44
SCR000068,CALL000068,AGT006,61,35,53,67,75,30,53,AI,,2024-01-29 12:14:30
SCR000069,CALL000069,AGT006,23,67,58,74,53,61,56,supervisor,,2024-01-03 12:41:49
SCR000070,CALL000070,AGT023,70,68,99,79,89,93,83,AI,,2024-01-07 14:51:08
SCR000071,CALL000071,AGT011,58,79,60,60,69,56,63,supervisor,,2024-01-14 10:47:16
SCR000072,CALL000072,AGT028,61,85,70,60,46,74,66,AI,,2024-01-25 16:16:15
SCR000073,CALL000073,AGT009,65,77,75,85,49,58,68,AI,,2024-01-26 10:02:02
SCR000074,CALL000074,AGT019,78,45,57,59,89,71,66,AI,,2024-01-29 07:43:45
SCR000075,CALL000075,AGT017,81,68,74,54,57,88,70,AI,,2024-01-03 09:45:44
SCR000076,CALL000076,AGT021,100,67,99,94,75,90,87,supervisor,,2024-01-05 16:06:35
SCR000077,CALL000077,AGT018,92,86,78,67,79,72,79,supervisor,,2024-01-07 14:37:01
SCR000078,CALL000078,AGT003,76,61,80,56,52,72,66,AI,,2024-01-05 09:35:21
SCR000079,CALL000079,AGT005,51,29,73,69,41,73,56,AI,,2024-01-09 18:36:05
SCR000080,CALL000080,AGT022,75,87,84,61,77,63,74,AI,,2024-01-12 18:13:17
SCR000081,CALL000081,AGT013,45,43,62,47,46,49,48,AI,,2024-01-26 10:45:24
SCR000082,CALL000082,AGT004,83,93,82,96,66,82,83,supervisor,,2024-01-01 15:01:28
SCR000083,CALL000083,AGT030,73,72,51,84,64,82,71,AI,,2024-01-21 14:18:44
SCR000084,CALL000084,AGT012,63,70,37,30,68,68,56,AI,,2024-01-09 12:11:28
SCR000085,CALL000085,AGT029,66,76,76,66,61,67,68,supervisor,,2024-01-09 08:44:04
SCR000086,CALL000086,AGT024,67,63,81,86,87,82,77,AI,,2024-01-28 08:43:24
SCR000087,CALL000087,AGT018,85,70,87,76,83,76,79,supervisor,,2024-01-06 11:06:37
SCR000088,CALL000088,AGT023,83,96,81,89,99,75,87,AI,,2024-01-06 16:39:00
SCR000089,CALL000089,AGT029,63,51,89,59,48,88,66,AI,,2024-01-04 09:29:09
SCR000090,CALL000090,AGT001,72,71,83,68,80,87,76,supervisor,,2024-01-22 09:55:15
SCR000091,CALL000091,AGT004,97,95,65,66,65,72,76,supervisor,,2024-01-12 08:26:20
SCR000092,CALL000092,AGT026,86,99,75,91,73,75,83,supervisor,,2024-01-21 11:18:04
SCR000093,CALL000093,AGT021,83,79,70,86,95,70,80,AI,,2024-01-22 14:56:43
SCR000094,CALL000094,AGT015,73,88,70,90,94,84,83,supervisor,,2024-01-05 09:51:51
SCR000095,CALL000095,AGT027,22,50,32,41,26,45,36,supervisor,,2024-01-12 14:13:59
SCR000096,CALL000096,AGT029,45,51,87,69,83,87,70,supervisor,,2024-01-16 12:33:55
SCR000097,CALL000097,AGT018,90,66,78,66,65,74,73,AI,,2024-01-26 14:04:39
SCR000098,CALL000098,AGT001,96,96,86,76,81,98,88,AI,,2024-01-13 08:44:27
SCR000099,CALL000099,AGT012,72,50,41,39,69,45,52,AI,,2024-01-06 10:29:16
SCR000100,CALL000100,AGT026,81,98,68,94,67,79,81,AI,,2024-01-08 16:44:26
SCR000101,CALL000101,AGT018,76,91,94,70,93,89,85,supervisor,,2024-01-01 15:33:04
SCR000102,CALL000102,AGT019,70,69,72,78,67,59,69,AI,,2024-01-15 10:01:38
SCR000103,CALL000103,AGT003,84,86,46,79,69,62,71,AI,,2024-01-18 12:30:34
SCR000104,CALL000104,AGT019,52,76,74,51,54,56,60,supervisor,,2024-01-01 13:12:42
SCR000105,CALL000105,AGT017,46,51,53,49,81,65,57,supervisor,,2024-01-06 11:57:25
SCR000106,CALL000106,AGT008,86,45,52,87,48,65,63,supervisor,,2024-01-20 12:42:41
SCR000107,CALL000107,AGT016,78,47,75,59,61,82,67,AI,,2024-01-19 14:18:39
SCR000108,CALL000108,AGT006,25,37,27,46,49,27,35,supervisor,,2024-01-29 14:14:18
SCR000109,CALL000109,AGT009,62,89,61,47,62,63,64,AI,,2024-01-27 09:28:15
SCR000110,CALL000110,AGT018,80,91,69,74,82,87,80,supervisor,,2024-01-04 08:34:48
SCR000111,CALL000111,AGT011,70,84,72,49,78,83,72,supervisor,,2024-01-02 13:41:20
SCR000112,CALL000112,AGT013,31,22,42,33,59,74,43,AI,,2024-01-15 11:20:35
SCR000113,CALL000113,AGT011,55,65,68,57,75,72,65,AI,,2024-01-01 09:40:33
SCR000114,CALL000114,AGT002,54,35,73,56,53,52,53,AI,,2024-01-05 10:14:01
SCR000115,CALL000115,AGT016,72,66,54,90,61,77,70,supervisor,,2024-01-23 13:31:49
SCR000116,CALL000116,AGT015,83,66,96,97,84,95,86,AI,,2024-01-06 11:19:58
SCR000117,CALL000117,AGT001,95,82,82,74,76,83,82,supervisor,,2024-01-12 15:32:58
SCR000118,CALL000118,AGT026,74,91,78,77,83,85,81,supervisor,,2024-01-18 17:24:50
SCR000119,CALL000119,AGT014,71,87,65,84,61,66,72,AI,,2024-01-26 15:20:01
SCR000120,CALL000120,AGT020,63,55,52,79,50,73,62,AI,,2024-01-25 11:22:01
SCR000121,CALL000121,AGT006,52,56,35,74,21,30,44,supervisor,,2024-01-12 09:26:48
SCR000122,CALL000122,AGT018,66,65,78,94,68,91,77,AI,,2024-01-22 16:53:57
SCR000123,CALL000123,AGT029,63,78,83,87,66,90,77,AI,,2024-01-27 18:33:53
SCR000124,CALL000124,AGT013,75,24,51,72,47,43,52,supervisor,,2024-01-14 14:15:58
SCR000125,CALL000125,AGT002,34,40,25,20,50,61,38,AI,,2024-01-22 10:25:43
SCR000126,CALL000126,AGT030,48,61,77,67,66,90,68,supervisor,,2024-01-02 15:07:16
SCR000127,CALL000127,AGT009,52,90,84,53,89,70,73,supervisor,,2024-01-21 16:11:59
SCR000128,CALL000128,AGT012,27,54,70,46,75,74,57,supervisor,,2024-01-29 16:02:09
SCR000129,CALL000129,AGT027,31,28,31,44,34,66,39,supervisor,,2024-01-26 15:55:11
SCR000130,CALL000130,AGT008,68,84,85,58,64,76,72,supervisor,,2024-01-29 13:45:53
SCR000131,CALL000131,AGT021,65,65,97,95,95,98,85,supervisor,,2024-01-07 13:25:37
SCR000132,CALL000132,AGT020,80,75,89,60,53,72,71,supervisor,,2024-01-13 16:03:05
SCR000133,CALL000133,AGT004,78,96,91,74,84,80,83,AI,,2024-01-19 10:41:03
SCR000134,CALL000134,AGT027,31,71,69,65,55,50,56,AI,,2024-01-14 15:59:10
SCR000135,CALL000135,AGT022,66,46,63,71,67,63,62,supervisor,,2024-01-26 13:31:44
SCR000136,CALL000136,AGT006,28,29,40,64,29,51,40,supervisor,,2024-01-23 14:44:17
SCR000137,CALL000137,AGT008,61,46,70,71,86,68,67,supervisor,,2024-01-16 12:07:45
SCR000138,CALL000138,AGT015,79,100,93,96,92,69,88,AI,,2024-01-11 11:51:27
SCR000139,CALL000139,AGT029,75,50,64,53,78,72,65,supervisor,,2024-01-21 14:16:26
SCR000140,CALL000140,AGT011,81,63,79,63,88,72,74,supervisor,,2024-01-05 15:54:13
SCR000141,CALL000141,AGT005,24,56,70,52,70,38,51,supervisor,,2024-01-22 15:09:33
SCR000142,CALL000142,AGT012,40,20,61,57,71,35,47,AI,,2024-01-02 09:40:40
SCR000143,CALL000143,AGT016,82,65,77,66,54,87,71,AI,,2024-01-24 10:00:18
SCR000144,CALL000144,AGT014,83,47,87,71,48,55,65,AI,,2024-01-10 15:10:09
SCR000145,CALL000145,AGT014,45,60,65,79,51,52,58,supervisor,,2024-01-11 08:30:14
SCR000146,CALL000146,AGT008,87,45,67,56,50,58,60,supervisor,,2024-01-19 18:22:17
SCR000147,CALL000147,AGT026,79,75,92,88,95,97,87,supervisor,,2024-01-16 10:07:30
SCR000148,CALL000148,AGT013,39,20,47,66,31,41,40,AI,,2024-01-22 15:24:14
SCR000149,CALL000149,AGT014,87,49,70,50,61,79,66,AI,,2024-01-28 16:51:37
SCR000150,CALL000150,AGT008,81,46,90,78,52,78,70,supervisor,,2024-01-04 11:34:35
SCR000151,CALL000151,AGT029,54,57,58,64,75,75,63,AI,,2024-01-26 10:41:59
SCR000152,CALL000152,AGT015,81,81,92,82,85,91,85,AI,,2024-01-11 14:08:22
SCR000153,CALL000153,AGT028,74,72,61,84,84,88,77,supervisor,,2024-01-27 17:15:08
SCR000154,CALL000154,AGT004,93,94,87,80,97,74,87,supervisor,,2024-01-28 13:07:13
SCR000155,CALL000155,AGT027,21,71,28,26,34,32,35,supervisor,,2024-01-07 16:35:54
SCR000156,CALL000156,AGT013,60,73,28,31,51,32,45,AI,,2024-01-22 16:15:38
SCR000157,CALL000157,AGT010,98,84,66,100,96,66,85,AI,,2024-01-08 11:46:47
SCR000158,CALL000158,AGT029,65,63,62,57,78,84,68,AI,,2024-01-30 15:13:42
SCR000159,CALL000159,AGT002,64,52,65,57,23,36,49,AI,,2024-01-04 07:56:15
SCR000160,CALL000160,AGT007,63,72,84,63,52,48,63,supervisor,,2024-01-16 09:55:05
SCR000161,CALL000161,AGT018,86,91,81,95,96,71,86,AI,,2024-01-11 13:38:06
SCR000162,CALL000162,AGT022,87,70,53,53,79,52,65,supervisor,,2024-01-20 15:36:00
SCR000163,CALL000163,AGT026,85,65,91,65,94,79,79,supervisor,,2024-01-23 09:46:39
SCR000164,CALL000164,AGT005,65,23,21,34,55,74,45,supervisor,,2024-01-11 09:26:17
SCR000165,CALL000165,AGT015,76,90,77,84,65,69,76,AI,,2024-01-09 11:14:42
SCR000166,CALL000166,AGT019,64,61,54,87,87,70,70,supervisor,,2024-01-24 14:21:25
SCR000167,CALL000167,AGT019,53,58,59,87,69,62,64,supervisor,,2024-01-29 14:51:34
SCR000168,CALL000168,AGT018,69,74,100,96,67,76,80,supervisor,,2024-01-03 09:40:28
SCR000169,CALL000169,AGT013,57,69,32,33,33,58,47,AI,,2024-01-11 11:45:45
SCR000170,CALL000170,AGT021,98,98,70,95,97,72,88,AI,,2024-01-13 14:30:03
SCR000171,CALL000171,AGT014,58,61,62,73,71,58,63,supervisor,,2024-01-12 16:14:47
SCR000172,CALL000172,AGT001,91,65,89,70,65,75,75,supervisor,,2024-01-30 16:00:56
SCR000173,CALL000173,AGT019,54,67,79,73,69,64,67,supervisor,,2024-01-24 13:29:03
SCR000174,CALL000174,AGT014,88,69,82,61,79,90,78,supervisor,,2024-01-25 15:33:00
SCR000175,CALL000175,AGT029,89,49,70,88,60,56,68,supervisor,,2024-01-12 11:36:30
SCR000176,CALL000176,AGT007,86,74,82,64,76,62,74,AI,,2024-01-22 11:03:10
SCR000177,CALL000177,AGT012,33,67,62,44,26,70,50,AI,,2024-01-22 08:28:44
SCR000178,CALL000178,AGT007,53,46,50,61,49,67,54,AI,,2024-01-18 12:41:07
SCR000179,CALL000179,AGT001,65,79,93,89,90,92,84,supervisor,,2024-01-13 14:44:48
SCR000180,CALL000180,AGT026,80,73,98,100,80,100,88,AI,,2024-01-06 11:16:12
SCR000181,CALL000181,AGT017,65,85,78,62,76,67,72,supervisor,,2024-01-05 15:05:41
SCR000182,CALL000182,AGT001,68,81,65,81,70,73,73,supervisor,,2024-01-09 14:04:47
SCR000183,CALL000183,AGT007,77,66,87,81,87,48,74,supervisor,,2024-01-18 15:55:06
SCR000184,CALL000184,AGT024,50,74,82,74,77,49,67,AI,,2024-01-21 15:37:37
SCR000185,CALL000185,AGT004,86,76,88,75,75,95,82,supervisor,,2024-01-17 16:27:50
SCR000186,CALL000186,AGT026,92,74,83,94,92,76,85,AI,,2024-01-09 15:14:07
SCR000187,CALL000187,AGT017,45,46,77,84,76,89,69,AI,,2024-01-26 14:21:06
SCR000188,CALL000188,AGT029,54,89,78,85,45,58,68,supervisor,,2024-01-07 16:31:28
SCR000189,CALL000189,AGT014,57,77,76,69,85,75,73,AI,,2024-01-05 12:20:33
SCR000190,CALL000190,AGT021,92,67,91,91,98,88,87,AI,,2024-01-08 07:21:37
SCR000191,CALL000191,AGT023,81,99,77,99,71,69,82,AI,,2024-01-12 11:14:58
SCR000192,CALL000192,AGT011,60,80,57,89,60,73,69,supervisor,,2024-01-21 14:18:32
SCR000193,CALL000193,AGT028,60,75,68,65,47,75,65,AI,,2024-01-23 11:04:43
SCR000194,CALL000194,AGT016,61,84,60,54,54,60,62,supervisor,,2024-01-23 09:47:57
SCR000195,CALL000195,AGT024,62,66,47,52,87,68,63,supervisor,,2024-01-19 09:40:13
SCR000196,CALL000196,AGT015,73,68,67,87,72,92,76,supervisor,,2024-01-15 09:52:56
SCR000197,CALL000197,AGT023,68,75,91,80,96,73,80,AI,,2024-01-01 09:46:06
SCR000198,CALL000198,AGT004,88,66,78,78,82,76,78,AI,,2024-01-17 14:33:05
SCR000199,CALL000199,AGT020,81,57,59,51,70,79,66,AI,,2024-01-29 11:41:30
SCR000200,CALL000200,AGT001,87,78,78,92,72,99,84,AI,,2024-01-23 15:56:15
SCR000201,CALL000201,AGT021,79,77,78,94,74,87,81,supervisor,,2024-01-29 14:45:43
SCR000202,CALL000202,AGT002,47,71,71,32,61,53,55,supervisor,,2024-01-02 16:56:12
SCR000203,CALL000203,AGT005,24,60,60,55,71,27,49,AI,,2024-01-09 13:51:39
SCR000204,CALL000204,AGT005,42,37,59,44,71,54,51,supervisor,,2024-01-29 17:50:31
SCR000205,CALL000205,AGT007,78,46,55,81,65,85,68,supervisor,,2024-01-22 09:43:23
SCR000206,CALL000206,AGT020,66,83,62,82,49,88,71,AI,,2024-01-23 14:36:59
SCR000207,CALL000207,AGT009,71,49,48,69,89,54,63,AI,,2024-01-29 15:33:07
SCR000208,CALL000208,AGT019,87,67,53,88,70,59,70,AI,,2024-01-27 13:19:44
SCR000209,CALL000209,AGT027,40,74,50,35,44,35,46,AI,,2024-01-23 11:02:33
SCR000210,CALL000210,AGT027,51,71,53,60,22,49,51,AI,,2024-01-12 16:47:43
SCR000211,CALL000211,AGT004,75,71,81,83,87,78,79,supervisor,,2024-01-21 15:45:01
SCR000212,CALL000212,AGT029,48,74,77,63,51,54,61,AI,,2024-01-10 10:31:38
SCR000213,CALL000213,AGT006,66,71,23,48,32,68,51,supervisor,,2024-01-23 11:39:46
SCR000214,CALL000214,AGT009,52,72,57,60,45,52,56,AI,,2024-01-11 17:13:23
SCR000215,CALL000215,AGT023,79,90,78,94,92,71,84,AI,,2024-01-26 14:17:58
SCR000216,CALL000216,AGT018,71,87,76,86,82,90,82,supervisor,,2024-01-30 10:48:44
SCR000217,CALL000217,AGT027,49,41,51,44,43,56,47,AI,,2024-01-24 16:06:35
SCR000218,CALL000218,AGT025,71,48,73,73,67,57,64,supervisor,,2024-01-21 09:53:26
SCR000219,CALL000219,AGT003,84,74,54,80,79,52,70,AI,,2024-01-12 10:19:00
SCR000220,CALL000220,AGT014,48,51,50,71,86,48,59,AI,,2024-01-06 16:05:52
SCR000221,CALL000221,AGT027,25,35,68,73,22,37,43,AI,,2024-01-10 15:38:35
SCR000222,CALL000222,AGT016,51,58,90,73,58,63,65,supervisor,,2024-01-29 12:23:37
SCR000223,CALL000223,AGT004,84,84,90,70,72,72,78,supervisor,,2024-01-07 13:38:07
SCR000224,CALL000224,AGT030,50,82,85,83,48,72,70,supervisor,,2024-01-20 08:31:58
SCR000225,CALL000225,AGT024,57,48,88,72,47,81,65,AI,,2024-01-16 17:57:10
SCR000226,CALL000226,AGT021,73,73,90,75,92,90,82,supervisor,,2024-01-22 16:49:45
SCR000227,CALL000227,AGT026,75,71,67,88,100,97,83,supervisor,,2024-01-19 14:33:04
SCR000228,CALL000228,AGT006,48,62,70,48,65,67,60,AI,,2024-01-01 13:06:22
SCR000229,CALL000229,AGT002,51,33,32,55,74,75,53,supervisor,,2024-01-15 15:07:12
SCR000230,CALL000230,AGT020,56,78,83,49,88,49,67,supervisor,,2024-01-23 09:03:41
SCR000231,CALL000231,AGT003,85,89,74,51,60,78,72,AI,,2024-01-12 14:23:57
SCR000232,CALL000232,AGT030,56,77,88,70,62,90,73,AI,,2024-01-06 16:05:16
SCR000233,CALL000233,AGT030,68,61,46,52,63,86,62,supervisor,,2024-01-11 16:33:44
SCR000234,CALL000234,AGT001,73,82,94,80,75,75,79,supervisor,,2024-01-13 10:08:18
SCR000235,CALL000235,AGT014,80,79,71,57,75,80,73,supervisor,,2024-01-24 08:59:43
SCR000236,CALL000236,AGT017,55,48,79,61,52,59,59,AI,,2024-01-27 10:50:53
SCR000237,CALL000237,AGT008,64,85,51,66,56,70,65,AI,,2024-01-24 12:36:39
SCR000238,CALL000238,AGT029,78,84,50,52,84,78,71,AI,,2024-01-06 15:30:16
SCR000239,CALL000239,AGT021,65,69,72,76,85,76,73,supervisor,,2024-01-19 08:06:34
SCR000240,CALL000240,AGT007,73,55,59,55,78,83,67,supervisor,,2024-01-19 09:55:39
SCR000241,CALL000241,AGT029,83,72,76,47,72,62,68,AI,,2024-01-08 14:01:01
SCR000242,CALL000242,AGT028,46,73,86,45,52,67,61,supervisor,,2024-01-23 16:28:35
SCR000243,CALL000243,AGT029,81,61,74,70,58,69,68,AI,,2024-01-08 16:39:51
SCR000244,CALL000244,AGT006,61,34,46,59,52,50,50,supervisor,,2024-01-22 08:01:11
SCR000245,CALL000245,AGT009,78,72,54,55,83,71,68,AI,,2024-01-14 16:07:29
SCR000246,CALL000246,AGT023,80,85,68,94,98,84,84,AI,,2024-01-30 11:16:27
SCR000247,CALL000247,AGT025,58,90,61,60,85,57,68,supervisor,,2024-01-07 10:43:48
SCR000248,CALL000248,AGT012,52,73,57,27,31,57,49,AI,,2024-01-09 09:12:58
SCR000249,CALL000249,AGT027,58,26,49,56,25,70,47,AI,,2024-01-06 14:09:36
SCR000250,CALL000250,AGT009,65,74,46,86,75,82,71,supervisor,,2024-01-28 14:25:03
SCR000251,CALL000251,AGT026,83,76,80,100,96,92,87,supervisor,,2024-01-26 12:24:10
SCR000252,CALL000252,AGT025,63,66,59,52,81,64,64,supervisor,,2024-01-18 16:51:38
SCR000253,CALL000253,AGT018,97,90,77,65,65,88,80,AI,,2024-01-14 12:52:43
SCR000254,CALL000254,AGT020,74,63,52,52,54,66,60,AI,,2024-01-12 11:43:38
SCR000255,CALL000255,AGT028,85,45,78,81,82,86,76,AI,,2024-01-24 15:39:36
SCR000256,CALL000256,AGT012,24,34,70,59,35,72,49,AI,,2024-01-15 14:29:27
SCR000257,CALL000257,AGT019,60,46,76,68,72,67,64,AI,,2024-01-22 10:38:56
SCR000258,CALL000258,AGT030,72,46,69,63,85,58,65,AI,,2024-01-11 11:56:08
SCR000259,CALL000259,AGT007,46,59,53,85,51,84,63,supervisor,,2024-01-22 14:12:01
SCR000260,CALL000260,AGT020,74,90,51,57,63,60,65,supervisor,,2024-01-04 12:38:45
SCR000261,CALL000261,AGT021,82,84,89,84,99,66,84,AI,,2024-01-26 10:56:46
SCR000262,CALL000262,AGT012,58,31,44,54,40,70,49,AI,,2024-01-17 11:37:06
SCR000263,CALL000263,AGT019,66,62,59,77,46,48,59,AI,,2024-01-06 13:06:29
SCR000264,CALL000264,AGT009,85,57,66,46,51,49,59,supervisor,,2024-01-20 11:37:56
SCR000265,CALL000265,AGT028,58,53,64,57,68,60,60,supervisor,,2024-01-29 10:46:54
SCR000266,CALL000266,AGT030,53,67,74,89,75,76,72,AI,,2024-01-05 11:47:10
SCR000267,CALL000267,AGT008,86,72,84,60,48,88,73,AI,,2024-01-20 16:30:13
SCR000268,CALL000268,AGT022,77,89,67,73,74,62,73,AI,,2024-01-13 14:53:37
SCR000269,CALL000269,AGT009,66,88,57,78,48,49,64,AI,,2024-01-29 10:51:25
SCR000270,CALL000270,AGT003,80,54,71,74,84,84,74,supervisor,,2024-01-16 09:27:54
SCR000271,CALL000271,AGT017,82,79,68,78,62,85,75,AI,,2024-01-16 10:46:10
SCR000272,CALL000272,AGT013,33,33,22,43,30,39,33,supervisor,,2024-01-25 18:08:51
SCR000273,CALL000273,AGT003,53,89,66,63,60,79,68,AI,,2024-01-28 10:01:53
SCR000274,CALL000274,AGT016,55,51,67,74,52,87,64,AI,,2024-01-22 14:36:25
SCR000275,CALL000275,AGT016,60,84,79,69,61,46,66,AI,,2024-01-10 16:37:03
SCR000276,CALL000276,AGT005,32,31,21,30,49,50,35,AI,,2024-01-17 11:07:03
SCR000277,CALL000277,AGT008,66,48,70,67,78,71,66,supervisor,,2024-01-08 10:52:48
SCR000278,CALL000278,AGT026,83,86,95,84,99,93,90,supervisor,,2024-01-10 16:20:52
SCR000279,CALL000279,AGT019,58,77,82,59,77,56,68,AI,,2024-01-18 14:15:14
SCR000280,CALL000280,AGT024,76,80,69,73,57,45,66,AI,,2024-01-22 15:08:32
SCR000281,CALL000281,AGT013,20,54,39,36,55,59,43,supervisor,,2024-01-16 13:47:33
