TASK_ID,CALL_ID,DEALER_ID,AGENT_ID,CUSTOMER_ID,TASK_TYPE,PRIORITY,STATUS,DUE_DATE,COMPLETED_AT,NOTES,CREATED_AT
TSK00218,CALL005642,DLR003,AGT005,CUS01405,update_contact,low,completed,2024-01-17,2024-01-17,,2024-01-17
TSK00219,CALL009458,DLR005,AGT014,CUS01451,send_survey,medium,in_progress,2024-01-06,2024-01-06,,2024-01-03
TSK00220,CALL009734,DLR002,AGT023,CUS00404,confirm_appointment,medium,pending,2024-01-30,,,2024-01-25
TSK00221,CALL014291,DLR003,AGT012,CUS00816,follow_up_call,low,in_progress,2024-01-31,,,2024-01-30
TSK00222,CALL008354,DLR003,AGT015,CUS00296,follow_up_call,medium,completed,2024-01-05,2024-01-05,,2024-01-01
TSK00223,,DLR002,AGT011,CUS00993,update_contact,medium,pending,2024-01-28,2024-01-28,,2024-01-26
TSK00224,CALL011684,DLR005,AGT009,CUS01653,schedule_appointment,low,pending,2024-01-19,2024-01-19,,2024-01-18
TSK00225,CALL012644,DLR004,AGT015,CUS00879,schedule_appointment,medium,completed,2024-02-04,,,2024-02-04
TSK00226,CALL010686,DLR004,AGT014,CUS00168,schedule_appointment,low,in_progress,2024-01-01,,,2023-12-28
TSK00227,CALL008521,DLR002,AGT008,CUS00504,schedule_appointment,medium,pending,2024-01-16,2024-01-16,,2024-01-15
TSK00228,,DLR003,AGT013,CUS01057,confirm_appointment,high,pending,2024-01-25,,,2024-01-22
TSK00229,,DLR003,AGT022,CUS01775,follow_up_call,high,pending,2024-01-02,,,2024-01-01
TSK00230,,DLR001,AGT007,CUS00705,update_contact,medium,cancelled,2024-02-04,2024-02-04,,2024-01-31
TSK00231,,DLR003,AGT022,CUS00550,send_survey,low,in_progress,2024-01-13,,,2024-01-11
TSK00232,CALL014192,DLR003,AGT008,CUS01686,follow_up_call,high,completed,2024-01-18,2024-01-18,,2024-01-13
TSK00233,CALL010108,DLR004,AGT027,CUS01231,escalate_complaint,low,completed,2024-01-10,,,2024-01-09
TSK00234,CALL006338,DLR005,AGT022,CUS00982,send_survey,medium,pending,2024-01-05,,,2023-12-31
TSK00235,CALL012764,DLR003,AGT013,CUS00001,confirm_appointment,low,completed,2024-01-02,2024-01-02,,2023-12-30
TSK00236,,DLR005,AGT020,CUS01887,schedule_appointment,high,completed,2024-01-03,,,2023-12-30
TSK00237,,DLR005,AGT024,CUS01704,update_contact,high,pending,2024-01-26,2024-01-26,,2024-01-21
TSK00238,,DLR001,AGT006,CUS01843,escalate_complaint,low,pending,2024-01-23,,,2024-01-20
